# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      24     0.61674     0.15260     0.00000   -2.998728972   -4.583088388   -1.584359416
     1      24     0.62261     0.14243     0.00000   -3.011499648   -4.596608933   -1.585109285
     1      24     0.62849     0.13226     0.00000   -3.026512498   -4.612371984   -1.585859486
     1      24     0.63436     0.12208     0.00000   -3.043811612   -4.630421371   -1.586609759
     1      24     0.64024     0.11191     0.00000   -3.062228265   -4.648912125   -1.586683860
     1      24     0.64611     0.10174     0.00000   -3.081584014   -4.667467679   -1.585883664
     1      24     0.65198     0.09156     0.00000   -3.102492059   -4.687575371   -1.585083311
     1      24     0.65786     0.08139     0.00000   -3.124548091   -4.708830974   -1.584282883
     1      24     0.66373     0.07122     0.00000   -3.147230222   -4.730549127   -1.583318905
     1      24     0.66960     0.06104     0.00000   -3.169888964   -4.752080423   -1.582191458
     1      24     0.67548     0.05087     0.00000   -3.191763628   -4.772827695   -1.581064067
     1      24     0.68135     0.04069     0.00000   -3.211956410   -4.791893122   -1.579936712
     1      24     0.68722     0.03052     0.00000   -3.229455419   -4.807994980   -1.578539562
     1      24     0.69310     0.02035     0.00000   -3.243181030   -4.820233590   -1.577052560
     1      24     0.69897     0.01017     0.00000   -3.252067448   -4.827633033   -1.575565584
     1      24     0.70485     0.00000     0.00000   -3.255194496   -4.829273080   -1.574078584
     1      24     0.68135     0.00000     0.00000   -3.241898753   -4.818951334   -1.577052580
     1      24     0.65786     0.00000     0.00000   -3.202426234   -4.782666858   -1.580240624
     1      24     0.63436     0.00000     0.00000   -3.140803490   -4.725730262   -1.584926773
     1      24     0.61087     0.00000     0.00000   -3.062891311   -4.652475978   -1.589584667
     1      24     0.58737     0.00000     0.00000   -2.974089877   -4.568245070   -1.594155193
     1      24     0.56388     0.00000     0.00000   -2.874705777   -4.473456380   -1.598750602
     1      24     0.54038     0.00000     0.00000   -2.771789197   -4.374788365   -1.602999169
     1      24     0.51689     0.00000     0.00000   -2.668612337   -4.274833312   -1.606220975
     1      24     0.49339     0.00000     0.00000   -2.567309161   -4.175733694   -1.608424533
     1      24     0.46990     0.00000     0.00000   -2.469706580   -4.080582036   -1.610875456
     1      24     0.44640     0.00000     0.00000   -2.377403688   -3.990909375   -1.613505687
     1      24     0.42291     0.00000     0.00000   -2.291793102   -3.905443004   -1.613649902
     1      24     0.39941     0.00000     0.00000   -2.214056269   -3.827024841   -1.612968572
     1      24     0.37592     0.00000     0.00000   -2.145204525   -3.758822563   -1.613618038
     1      24     0.35242     0.00000     0.00000   -2.086185845   -3.700786325   -1.614600480
     1      24     0.32893     0.00000     0.00000   -2.038081874   -3.647321611   -1.609239737
     1      24     0.30543     0.00000     0.00000   -2.001848752   -3.606427636   -1.604578884
     1      24     0.28194     0.00000     0.00000   -1.977774050   -3.573761284   -1.595987234
     1      24     0.25844     0.00000     0.00000   -1.965805668   -3.552048031   -1.586242363
     1      24     0.23495     0.00000     0.00000   -1.966008818   -3.537460987   -1.571452169
     1      24     0.21145     0.00000     0.00000   -1.978551564   -3.531995181   -1.553443617
     1      24     0.18796     0.00000     0.00000   -2.003593452   -3.533633007   -1.530039555
     1      24     0.16446     0.00000     0.00000   -2.041192557   -3.546324622   -1.505132065
     1      24     0.14097     0.00000     0.00000   -2.091156916   -3.569879409   -1.478722493
     1      24     0.11747     0.00000     0.00000   -2.152858335   -3.596321882   -1.443463547
     1      24     0.09398     0.00000     0.00000   -2.224752442   -3.627649373   -1.402896931
     1      24     0.07048     0.00000     0.00000   -2.303360082   -3.667197126   -1.363837044
     1      24     0.04699     0.00000     0.00000   -2.380279938   -3.705566113   -1.325286175
     1      24     0.02349     0.00000     0.00000   -2.434018612   -3.713399138   -1.279380526
     1      24     0.00000     0.00000     0.00000   -2.447007112   -3.679437054   -1.232429942
     1      25     0.00000     0.00000     0.00000   -1.180760502   -2.223404625   -1.042644123
     1      25     0.01175     0.02035     0.00000   -1.182364589   -2.226047527   -1.043682938
